-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Thursday 2019-11-07,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,Giảm khá,Giảm nhẹ,-,-,-,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn
Friday 2019-11-08,-,Tăng ổn,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,Tăng tốt,Giảm khá
Saturday 2019-11-09,-,Tăng ổn,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm khá,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ
Sunday 2019-11-10,Tăng ổn,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,-,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn,Giảm nhẹ
Monday 2019-11-11,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Giảm khá,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng ổn,Giảm khá,Tăng nhẹ
Tuesday 2019-11-12,-,-,-,-,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng nhẹ,-,-,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,-,Tăng nhẹ
Wednesday 2019-11-13,Tăng ổn,Giảm khá,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Tăng ổn,Giảm khá,-,-,Tăng ổn,-,Giảm mạnh,-,-,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn
Thursday 2019-11-14,-,Giảm nhẹ,-,-,Giảm nhẹ,-,-,Giảm nhẹ,Giảm mạnh,-,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng ổn,-,Giảm nhẹ,-,Tăng ổn,-,Tăng nhẹ,-
Friday 2019-11-15,-,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-,Giảm mạnh,-,Giảm nhẹ,-,Tăng tốt,Tăng ổn,-,Tăng ổn,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm khá,Giảm mạnh,Tăng ổn,-
Saturday 2019-11-16,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Giảm khá,Tăng ổn,-,Giảm nhẹ,-,-,-,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ
Sunday 2019-11-17,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,-,Tăng ổn,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,Tăng ổn
Monday 2019-11-18,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,-,Giảm khá,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm mạnh,-,Tăng nhẹ,Giảm nhẹ,-,Giảm mạnh,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ
Tuesday 2019-11-19,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ,Giảm khá,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm khá,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm khá
Wednesday 2019-11-20,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,Tăng ổn,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm mạnh,-,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Tăng ổn,-,-
Thursday 2019-11-21,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,-,Giảm mạnh,Tăng ổn,-,Giảm khá,Tăng ổn,-,Giảm mạnh,-,Giảm mạnh
Friday 2019-11-22,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng tốt,-,Giảm nhẹ,-,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng tốt,-,Giảm mạnh,Giảm mạnh,Tăng nhẹ,-,What the *,Tăng ổn,Tăng ổn,Tăng nhẹ
Saturday 2019-11-23,-,Tăng ổn,Tăng ổn,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm khá,Tăng ổn,Tăng nhẹ,-,Giảm khá,Giảm nhẹ,Tăng tốt,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,Tăng tốt,Tăng nhẹ,-
Sunday 2019-11-24,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm mạnh,-,-,Giảm nhẹ,-,Giảm nhẹ,Tăng tốt,Giảm nhẹ,Tăng ổn,Tăng tốt,Giảm mạnh,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm mạnh,Giảm khá,Tăng tốt
Monday 2019-11-25,Tăng ổn,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,-,Giảm mạnh,Tăng ổn,Giảm nhẹ,Tăng tốt,Giảm mạnh,Tăng tốt,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Tăng ổn,Tăng tốt,Giảm khá,-,Tăng ổn,Giảm mạnh
Tuesday 2019-11-26,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng tốt,Tăng tốt,Tăng ổn,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,-,Giảm khá,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng ổn,-
Wednesday 2019-11-27,Giảm mạnh,Tăng ổn,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Giảm khá,Tăng ổn,Giảm khá,Giảm nhẹ,Giảm mạnh,Tăng tốt,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Tăng tốt,-,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng ổn
Thursday 2019-11-28,Tăng tốt,Giảm khá,Giảm khá,Giảm nhẹ,-,Giảm khá,Tăng tốt,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,-,Tăng ổn,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng ổn,-,Tăng ổn,Tăng nhẹ
Friday 2019-11-29,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn,Giảm khá
Saturday 2019-11-30,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Tăng ổn,Tăng nhẹ,Giảm mạnh,Tăng ổn,Giảm khá,-,-,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ
Sunday 2019-12-01,Giảm khá,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm mạnh,-,Tăng nhẹ,Tăng ổn,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,Tăng tốt,Giảm khá,Tăng nhẹ,Wow!!!,Giảm nhẹ,Giảm mạnh,Tăng ổn
Monday 2019-12-02,Giảm nhẹ
